transaction_id,timestamp,customer_id,product_id,product_category,quantity,price,discount,payment_method,customer_age,customer_gender,customer_location,total_amount
TXN100000,2025-02-28 04:50:00,CUST8608,PROD-9376-NX,Wearable Health,4,1120.24,0.21,Wallet,55,Non-binary,Osaka,3539.96
TXN100001,2025-01-11 03:12:00,CUST7791,PROD-9946-NX,Wearable Health,5,689.03,0.02,Wallet,35,Male,Austin,3376.25
TXN100002,2025-01-03 06:38:00,CUST6510,PROD-9816-NX,Smart Home,3,843.56,0.02,Cryptocurrency,43,Other,Cape Town,2480.07
TXN100003,2025-03-09 11:56:00,CUST5420,PROD-9531-NX,3D Printing,5,1108.94,0.0,Virtual Card,23,Male,Cape Town,5544.7
TXN100004,2025-01-26 00:48:00,CUST7068,PROD-9273-NX,Electric Scooters,5,856.01,0.29,Virtual Card,21,Other,Cape Town,3038.84
TXN100005,2025-01-23 06:58:00,CUST8913,PROD-9820-NX,3D Printing,2,204.23,0.22,Cryptocurrency,61,Male,Cape Town,318.6
TXN100006,2025-01-21 07:36:00,CUST5934,PROD-9084-NX,Pet Tech,3,702.14,0.11,Virtual Card,46,Non-binary,Osaka,1874.71
TXN100007,2025-01-13 16:49:00,CUST5535,PROD-9744-NX,Pet Tech,3,737.89,0.09,UPI,51,Other,Reykjavik,2014.44
TXN100008,2025-03-09 00:50:00,CUST8282,PROD-9434-NX,Wearable Health,3,523.35,0.1,Buy Now Pay Later,34,Male,Berlin,1413.05
TXN100009,2025-01-10 07:54:00,CUST9028,PROD-9080-NX,3D Printing,5,890.32,0.23,Buy Now Pay Later,60,Other,Osaka,3427.73
TXN100010,2025-03-03 14:16:00,CUST5606,PROD-9440-NX,Electric Scooters,4,1122.88,0.2,UPI,60,Male,Cape Town,3593.22
TXN100011,2025-03-09 10:00:00,CUST9726,PROD-9616-NX,3D Printing,3,1112.54,0.06,Wallet,33,Other,Reykjavik,3137.36
TXN100012,2025-02-19 15:22:00,CUST5439,PROD-9842-NX,3D Printing,5,554.74,0.05,Virtual Card,19,Non-binary,Cape Town,2635.02
TXN100013,2025-01-08 21:55:00,CUST6242,PROD-9184-NX,Pet Tech,2,158.05,0.03,Wallet,51,Male,Osaka,306.62
TXN100014,2025-02-23 17:57:00,CUST6222,PROD-9558-NX,Pet Tech,4,1182.19,0.2,Buy Now Pay Later,25,Other,Cape Town,3783.01
TXN100015,2025-02-08 09:42:00,CUST9610,PROD-9300-NX,Electric Scooters,2,1010.71,0.23,Virtual Card,30,Male,Osaka,1556.49
TXN100016,2025-01-03 21:25:00,CUST7489,PROD-9328-NX,Pet Tech,4,171.48,0.08,Wallet,59,Non-binary,Reykjavik,631.05
TXN100017,2025-01-03 17:05:00,CUST5697,PROD-9105-NX,Pet Tech,5,1106.99,0.01,Cryptocurrency,25,Other,Reykjavik,5479.6
TXN100018,2025-01-09 12:40:00,CUST7033,PROD-9081-NX,Wearable Health,1,1047.13,0.02,Cryptocurrency,47,Male,Berlin,1026.19
TXN100019,2025-01-20 21:37:00,CUST5970,PROD-9335-NX,Smart Home,4,634.63,0.29,Buy Now Pay Later,49,Female,Berlin,1802.35
TXN100020,2025-01-22 04:15:00,CUST9571,PROD-9676-NX,Wearable Health,2,719.75,0.09,Cryptocurrency,53,Female,Austin,1309.94
TXN100021,2025-02-15 23:57:00,CUST8409,PROD-9302-NX,Pet Tech,5,493.83,0.23,Buy Now Pay Later,64,Other,Austin,1901.25
TXN100022,2025-02-24 19:07:00,CUST9966,PROD-9313-NX,Smart Home,4,89.34,0.19,UPI,47,Male,Osaka,289.46
TXN100023,2025-01-03 09:58:00,CUST9883,PROD-9456-NX,Electric Scooters,1,418.86,0.11,Cryptocurrency,18,Female,Cape Town,372.79
TXN100024,2025-02-21 02:03:00,CUST6848,PROD-9617-NX,Wearable Health,1,968.35,0.06,Cryptocurrency,60,Other,Cape Town,910.25
TXN100025,2025-01-19 02:22:00,CUST9280,PROD-9734-NX,Electric Scooters,3,30.44,0.04,UPI,56,Female,Berlin,87.67
TXN100026,2025-03-07 04:10:00,CUST8116,PROD-9436-NX,Pet Tech,3,416.86,0.18,UPI,34,Other,Cape Town,1025.48
TXN100027,2025-03-01 03:41:00,CUST8690,PROD-9170-NX,Wearable Health,2,492.85,0.23,Buy Now Pay Later,37,Female,Osaka,758.99
TXN100028,2025-03-05 20:04:00,CUST8626,PROD-9706-NX,Pet Tech,4,656.44,0.19,UPI,41,Other,Austin,2126.87
TXN100029,2025-02-19 14:26:00,CUST7435,PROD-9454-NX,Electric Scooters,4,1105.83,0.16,UPI,39,Other,Berlin,3715.59
TXN100030,2025-02-08 04:27:00,CUST9821,PROD-9359-NX,Smart Home,3,431.96,0.01,Wallet,46,Other,Reykjavik,1282.92
TXN100031,2025-01-21 01:33:00,CUST8512,PROD-9457-NX,Pet Tech,4,432.67,0.29,Virtual Card,39,Male,Berlin,1228.78
TXN100032,2025-02-10 21:18:00,CUST7501,PROD-9043-NX,Electric Scooters,4,891.56,0.24,Wallet,61,Female,Cape Town,2710.34
TXN100033,2025-02-23 15:16:00,CUST9658,PROD-9744-NX,Electric Scooters,1,556.36,0.09,Wallet,26,Female,Cape Town,506.29
TXN100034,2025-01-26 07:43:00,CUST5493,PROD-9890-NX,3D Printing,3,288.91,0.29,Virtual Card,54,Other,Berlin,615.38
TXN100035,2025-01-01 14:11:00,CUST9994,PROD-9933-NX,Smart Home,5,556.62,0.18,Cryptocurrency,27,Other,Austin,2282.14
TXN100036,2025-03-11 01:38:00,CUST5812,PROD-9361-NX,Pet Tech,3,190.51,0.17,Buy Now Pay Later,53,Non-binary,Berlin,474.37
TXN100037,2025-01-15 12:46:00,CUST6702,PROD-9629-NX,Smart Home,5,232.25,0.22,UPI,54,Male,Osaka,905.78
TXN100038,2025-03-05 13:06:00,CUST6728,PROD-9445-NX,Pet Tech,1,610.58,0.24,Virtual Card,45,Male,Cape Town,464.04
TXN100039,2025-02-08 11:12:00,CUST7167,PROD-9281-NX,Pet Tech,2,517.24,0.2,Virtual Card,45,Female,Austin,827.58
TXN100040,2025-01-31 23:17:00,CUST5665,PROD-9654-NX,Pet Tech,4,1099.94,0.04,UPI,59,Non-binary,Berlin,4223.77
TXN100041,2025-01-26 07:01:00,CUST6286,PROD-9810-NX,Electric Scooters,1,450.81,0.1,Virtual Card,60,Male,Berlin,405.73
